ID,Название книги,Автор книги,Год издания,Статус
337,Чёрный монах,Антон Чехов,1894,в наличии
338,Убийство в Месопотамии,Агата Кристи,1936,в наличии
339,Сага о Форсайтах,Джон Голсуорси,1906-1921,в наличии
340,Пигмалион,Бернард Шоу,1913,в наличии
341,Слово О Полку Игореве,Неизвестный автор,XII век,в наличии
342,Стихотворения,Александр Блок,1901-1921,в наличии
343,Сирано де Бержерак,Эдмон Ростан,1897,в наличии
344,Имя Розы,Умберто Эко,1980,в наличии
345,Повелитель мух,Уильям Голдинг,1954,в наличии
346,Жизнь и судьба,Василий Гроссман,1950—1959,в наличии
347,Рассказ о семи повешенных,Леонид  Андреев,1909,в наличии
348,Тот самый Мюнхгаузен,Григорий Горин,1974,в наличии
349,Живи и помни,Валентин Распутин,1974,в наличии
350,Честь имею,Валентин Пикуль,1986,в наличии
351,Сандро из Чегема,Фазиль Искандер,1966-1973,в наличии
352,Человек в футляре,Антон Чехов,1898,в наличии
353,Десять негритят,Агата Кристи,1939,в наличии
354,Фаворит,Валентин Пикуль,1976-1982,в наличии
355,Чук и Гек,Аркадий Гайдар,1939,в наличии
356,Пословицы и поговорки русского народа,Владимир Даль,1862,в наличии
357,Демон,Михаил Лермонтов,1829—1839,в наличии
358,"Праздник, который всегда с тобой",Эрнест Хемингуэй,1964,в наличии
359,"Я, следователь",Братья Вайнеры,1972,в наличии
360,Урфин Джюс и его деревянные солдаты,Александр Волков,1963,в наличии
361,Хромая судьба,Аркадий и Борис Стругацкие,1986,в наличии
362,Плаха,Чингиз Айтматов,1986,в наличии
363,Архив Шерлока Холмса,Артур Конан Дойль,1927,в наличии
364,Иметь и не иметь,Эрнест Хемингуэй,1937,в наличии
365,Лезвие бритвы,Иван Ефремов,1959-1963,в наличии
366,Убить пересмешника,Харпер Ли,1960,в наличии
367,Визит к Минотавру,Братья Вайнеры,1972,в наличии
368,Один день Ивана Денисовича,Александр Солженицын,1959,в наличии
369,В списках не значился,Борис Васильев,1974,в наличии
370,Жук в муравейнике,Аркадий и Борис Стругацкие,1979,в наличии
371,Время жить и время умирать,Эрих Мария Ремарк,1954,в наличии
372,Гроза,Александр Островский,1860,в наличии
373,Мой любимый sputnik,Харуки Мураками,1999,в наличии
374,Брестская крепость,Сергей Смирнов,1957,в наличии
375,Старший сын,Александр Вампилов,1967,в наличии
376,Нерв,Владимир Высоцкий,1981,в наличии
377,Гонки по вертикали,Братья Вайнеры,1974,в наличии
378,Калина красная,Василий Шукшин,1973,в наличии
379,Обрыв,Иван Гончаров,1869,в наличии
380,Реквием,Анна Ахматова,1935-1940,в наличии
381,Золотая цепь,Александр Грин,1925,в наличии
382,Хроники Амбера,Роджер Желязны,1970-1991,в наличии
383,Рассказы о животных,Эрнест Сетон-Томпсон,1883-1927,в наличии
384,Моонзунд,Валентин Пикуль,1973,в наличии
385,Улисс,Джеймс Джойс,1914-1921,в наличии
386,Плутония,Владимир Обручев,1915,в наличии
387,Молодая гвардия,Александр Фадеев,1951,в наличии
388,Сонеты и стихи,Уильям Шекспир,1592-1599,в наличии
389,Круглянский мост,Василь Быков,1968,в наличии
390,"Сказка о Военной тайне, о Мальчише-Кибальчише и его твёрдом слове",Аркадий Гайдар,1933,в наличии
391,Люди бездны,Джек Лондон,1903,в наличии
392,Барышня-крестьянка,Александр Пушкин,1831,в наличии
393,Дорога,Джек Лондон,1907,в наличии
394,Большая четверка,Агата Кристи,1927,в наличии
395,Севастопольская страда,Сергей Сергеев-Ценский,1939,в наличии
396,Бронзовая птица,Анатолий Рыбаков,1956,в наличии
397,"Золотой ключик, или Приключения Буратино",Алексей Толстой,1935,в наличии
398,Звёздные дневники Ийона Тихого,Станислав Лем,1953-1999,в наличии
399,Тимур и его команда,Аркадий Гайдар,1940,в наличии
400,За миллиард лет до конца света,Аркадий и Борис Стругацкие,1976,в наличии
401,Ярмарка тщеславия,Уильям  Теккерей,1848,в наличии
402,Смок Беллью/Смок и Малыш,Джек Лондон,1912,в наличии
403,Сказки,Корней Чуковский,1916-1946,в наличии
404,Смерть в облаках,Агата Кристи,1935,в наличии
405,Поединок,Александр Куприн,1905,в наличии
406,Кафка на пляже,Харуки Мураками,2002,в наличии
407,Джентльмены удачи,Виктория Токарева,1968,в наличии
408,Судьба барабанщика,Аркадий Гайдар,1938,в наличии
409,Дьяволиада,Михаил Булгаков,1923,в наличии
410,Цусима,Алексей Новиков-Прибой,1932,в наличии
411,Женщина в песках,Кобо Абэ,1962,в наличии
412,Хищные вещи века,Аркадий и Борис Стругацкие,1965,в наличии
413,Рассказы о животных,Софья Радзиевская,1980,в наличии
414,Школа,Аркадий Гайдар,1930,в наличии
415,В овраге,Антон Чехов,1899,в наличии
416,Экспансия,Юлиан Семенов,1984,в наличии
417,Малыш,Аркадий и Борис Стругацкие,1971,в наличии
418,Прокляты и убиты,Виктор Астафьев,1993,в наличии
419,Сын полка,Валентин Катаев,1945,в наличии
420,"Пегий пёс, бегущий краем моря",Чингиз Айтматов,1977,в наличии
421,Мещерская сторона,Константин Паустовский,1938,в наличии
422,Петля и камень в зеленой траве,Братья Вайнеры,1975–1977,в наличии
423,Волхв,Джон Фаулз,1966,в наличии
424,Остров Сахалин,Антон Чехов,1893-1895,в наличии
425,Театр,Сомерсет Моэм,1937,в наличии
426,Смерть в Венеции,Томас Манн,1912,в наличии
427,Снежная королева,Ганс Христиан Андерсен,1844,в наличии
428,Кролики и удавы,Фазиль Искандер,1982,в наличии
429,Госпожа Бовари,Гюстав Флобер,1856,в наличии
430,Гроздья гнева,Джон Стейнбек,1939,в наличии
431,На задворках великой империи,Валентин Пикуль,1964—1966,в наличии
432,Последний из Могикан,Джеймс Фенимор Купер,1826,в наличии
433,"Дядя Фёдор, пёс и кот",Эдуард Успенский,1974,в наличии
434,Синяя Птица,Морис Метерлинк,1908,в наличии
435,Чужое лицо,Кобо Абэ,1964,в наличии
436,Женитьба,Николай Гоголь,1842,в наличии
437,Победа,Александр Чаковский,1979,в наличии
438,Семья вурдалака,Алексей Константинович Толстой,1839,в наличии
439,1Q84,Харуки Мураками,2009-2010,в наличии
440,Полосатая спинка. Рассказы,Софья Радзиевская,1979,в наличии
441,Песнь Льда и Огня,Джордж Мартин,1996 -...,в наличии
442,Коварный удар,Джеймс Хедли Чейз,1954,в наличии
443,Завтра была война,Борис Васильев,1984,в наличии
444,Тайна «Голубого поезда»,Агата Кристи,1928,в наличии
445,Иосиф и его братья,Томас Манн,1933-1943,в наличии
446,Выстрел,Анатолий Рыбаков,1975,в наличии
447,Толковый словарь живого великорусского языка,Владимир Даль,1861-1868,в наличии
448,Последний дюйм,Джеймс Олдридж,1957,в наличии
449,Страна Чудес без тормозов и Конец Света,Харуки Мураками,1985,в наличии
450,Черный принц,Айрис Мердок,1973,в наличии
451,Защита Лужина,Владимир Набоков,1929-1930,в наличии
452,Лёгкое дыхание,Иван Бунин,1916,в наличии
453,Детство Никиты,Алексей Толстой,1922,в наличии
454,Как закалялась сталь,Николай Островский,1934,в наличии
455,Степь,Антон Чехов,1888,в наличии
456,Дар,Владимир Набоков,1937-1938,в наличии
457,Чевенгур,Андрей Платонов,1926-1928,в наличии
458,Мать,Максим Горький,1906,в наличии
459,Военная тайна,Аркадий Гайдар,1935,в наличии
460,Душной ночью в Каролине,Джон Болл,1965,в наличии
461,Этика,Бенедикт Спиноза,1677,в наличии
462,Сын волка,Джек Лондон,1899,в наличии
463,На краю Ойкумены,Иван Ефремов,1946,в наличии
464,Мальчики с бантиками,Валентин Пикуль,1985,в наличии
465,Жеребенок,Михаил Шолохов,1924,в наличии
466,Щит и меч,Вадим Кожевников,1965,в наличии
467,Белое безмолвие,Джек Лондон,1899,в наличии
468,Записки маркёра,Лев Толстой,1853 - 1855,в наличии
469,Посошок,Александр Башлачёв,1990,в наличии
